4411,"Skagway Air Service",8
10912,"Alaska Seaplane Service",8
106,"Air Europe",8
1729,"Changan Airlines",8
5254,"Ukrainian Cargo Airways",8
998,"Air Koryo",8
10739,"Air Choice One",8
16116,"Air Hamburg (AHO)",8
465,"Air Tanzania",8
5297,"Valuair",8
4513,"Servicios de Transportes A",8
3157,"Kogalymavia Air Company",8
68,"Air Tindi",8
3613,"Nationwide Airlines",8
3765,"Oceanic Airlines",8
1966,"Daallo Airlines",8
1109,"Astair",7
4805,"Saratov Aviation Division",6
13734,"SOCHI AIR",6
3205,"LAN Peru",6
4188,"Republic Express Airlines",6
13899,"Cambodia Angkor Air (K6)",6
9809,"Eastar Jet",6
1973,"Dalavia",6
644,"Aviaexpress",6
4335,"Seaborne Airlines",6
11811,"AlMasria Universal Airlines",6
11761,"VIP Ecuador",6
2683,"Harbor Airlines",6
1008,"Albanian Airlines",6
5187,"Turan Air",6
315,"ATA Airlines",6
3680,"Nordic Regional",6
2454,"Freedom Air",6
3547,"Motor Sich",6
477,"Air Saint Pierre",6
2104,"East African",6
4198,"Rico Linhas A",5
2757,"Hex'Air",5
4908,"Teamline Air",5
10758,"Safi Airlines",4
1769,"China United Airlines",4
5358,"Viaggio Air",4
1200,"Asian Spirit",4
1442,"Bemidji Airlines",4
10,"40-Mile Air",4
2556,"Ghana International Airlines",4
3834,"PAN Air",4
12961,"Gryphon Airlines",4
4388,"Star Flyer",4
1040,"Air Alps Aviation",4
3845,"Pace Airlines",4
2799,"Héli Sécurité Helicopter Airlines",4
1411,"British International Helicopters",4
1910,"Cosmic Air",4
1048,"Atlantis European Airways",4
682,"Air Ivoire",4
42,"ABSA - Aerolinhas Brasileiras",4
5401,"Welcome Air",4
1322,"Avialeasing Aviation Company",4
1206,"Aero Lanka",4
2585,"Golden Air",4
4106,"RACSA",4
3172,"Krylo Airlines",4
3529,"Moldavian Airlines",4
13218,"SGA Airlines",4
2395,"Flightline",4
72,"Ada Air",4
1750,"Chicago Express",4
4044,"Primaris Airlines",4
3550,"Mountain Air Company",3
5251,"UM Airlines",3
43,"Abaet",3
608,"Air Zimbabwe",3
1230,"Aero-Service",3
2951,"Isles of Scilly Skybus",2
2731,"Helijet",2
2094,"Eagle Air",2
2264,"Excel Airways",2
442,"Air Sinai",2
4436,"Sibaviatrans",2
839,"Alpi Eagles",2
2937,"Island Airlines",2
5098,"Trans World Airlines",2
10674,"Danube Wings (V5)",2
3740,"Nouvel Air Tunisie",2
828,"Aero Airlines",2
724,"ATRAN Cargo Airlines",2
3272,"Linea Aerea de Servicio Ejecutivo Regional",2
1954,"DAT Danish Air Transport",2
12965,"Spirit of Manila Airlines",2
10123,"Texas Wings",2
563,"Aeroline GmbH",2
792,"Access Air",2
3644,"New England Airlines",2
3976,"Pinnacle Airlines",2
1967,"Dagestan Airlines",2
4637,"Superior Aviation",2
1021,"Alidaunia",2
807,"Air Dolomiti",2
2917,"Interstate Airline",2
2969,"JAL Express",2
4165,"Reem Air",2
11840,"STP Airways",2
3220,"Lagun Air",2
349,"AVCOM",2
1543,"British Mediterranean Airways",2
3878,"Pamir Airways",2
3421,"Mastertop Linhas Aereas",2
29,"Askari Aviation",2
16093,"Transportes Aéreos Nacionales de Selva",2
16150,"TransHolding System",2
1052,"Air Luxor",2
1550,"Barents AirLink",2
3326,"Lufttransport",2
2246,"Euromanx Airways",2
565,"Air Wales",1
4013,"Polynesian Airlines",1
2260,"Eurowings",1
